,Date,Total
620,01/03/2011,424
621,01/04/2011,350
622,01/05/2011,330
623,01/06/2011,361
624,01/07/2011,333
625,01/08/2011,57
626,01/10/2011,406
627,01/11/2011,346
628,01/12/2011,312
629,01/13/2011,313
630,01/14/2011,314
631,01/15/2011,48
632,01/17/2011,390
633,01/18/2011,340
634,01/19/2011,307
635,01/20/2011,248
636,01/21/2011,302
637,01/22/2011,45
638,01/24/2011,376
639,01/25/2011,317
640,01/26/2011,317
641,01/27/2011,280
642,01/28/2011,358
643,01/29/2011,44
644,01/31/2011,400
645,02/01/2011,364
646,02/02/2011,304
647,02/03/2011,346
648,02/04/2011,405
649,02/05/2011,63
650,02/06/2011,1
651,02/07/2011,406
652,02/08/2011,378
653,02/09/2011,334
654,02/10/2011,304
655,02/11/2011,380
656,02/12/2011,47
657,02/14/2011,423
658,02/15/2011,324
659,02/16/2011,289
660,02/17/2011,290
661,02/18/2011,341
662,02/19/2011,50
663,02/21/2011,400
664,02/22/2011,292
665,02/23/2011,306
666,02/24/2011,323
667,02/25/2011,324
668,02/26/2011,41
669,02/28/2011,413
670,03/01/2011,402
671,03/02/2011,345
672,03/03/2011,346
673,03/04/2011,324
674,03/05/2011,69
675,03/07/2011,480
676,03/08/2011,306
677,03/09/2011,324
678,03/10/2011,350
679,03/11/2011,323
680,03/12/2011,55
681,03/14/2011,471
682,03/15/2011,298
683,03/16/2011,310
684,03/17/2011,274
685,03/18/2011,278
686,03/19/2011,39
687,03/21/2011,404
688,03/22/2011,268
689,03/23/2011,233
690,03/24/2011,287
691,03/25/2011,303
692,03/26/2011,41
693,03/28/2011,462
694,03/29/2011,349
695,03/30/2011,333
696,03/31/2011,333
697,04/01/2011,316
698,04/02/2011,61
699,04/04/2011,526
700,04/05/2011,321
701,04/06/2011,294
702,04/07/2011,341
703,04/08/2011,296
704,04/09/2011,57
705,04/11/2011,402
706,04/12/2011,273
707,04/13/2011,344
708,04/14/2011,332
709,04/15/2011,311
710,04/16/2011,47
711,04/18/2011,414
712,04/19/2011,310
713,04/20/2011,293
714,04/21/2011,323
715,04/22/2011,286
716,04/23/2011,29
717,04/25/2011,398
718,04/26/2011,237
719,04/27/2011,282
720,04/28/2011,348
721,04/29/2011,324
722,04/30/2011,43
723,05/02/2011,530
724,05/03/2011,289
725,05/04/2011,291
726,05/05/2011,272
727,05/06/2011,288
728,05/07/2011,42
729,05/09/2011,431
730,05/10/2011,260
731,05/11/2011,319
732,05/12/2011,280
733,05/13/2011,290
734,05/14/2011,59
735,05/16/2011,440
736,05/17/2011,325
737,05/18/2011,289
738,05/19/2011,305
739,05/20/2011,268
740,05/21/2011,50
741,05/23/2011,379
742,05/24/2011,294
743,05/25/2011,291
744,05/26/2011,308
745,05/27/2011,344
746,05/28/2011,50
747,05/30/2011,2
748,05/31/2011,451
749,06/01/2011,371
750,06/02/2011,324
751,06/03/2011,370
752,06/04/2011,63
753,06/06/2011,454
754,06/07/2011,281
755,06/08/2011,307
756,06/09/2011,273
757,06/10/2011,340
758,06/11/2011,62
759,06/13/2011,389
760,06/14/2011,346
761,06/15/2011,329
762,06/16/2011,254
763,06/17/2011,286
764,06/18/2011,35
765,06/20/2011,416
766,06/21/2011,323
767,06/22/2011,278
768,06/23/2011,255
769,06/24/2011,263
770,06/25/2011,56
771,06/27/2011,405
772,06/28/2011,295
773,06/29/2011,322
774,06/30/2011,301
775,07/01/2011,354
776,07/02/2011,47
777,07/05/2011,442
778,07/06/2011,346
779,07/07/2011,356
780,07/08/2011,327
781,07/09/2011,38
782,07/11/2011,415
783,07/12/2011,305
784,07/13/2011,302
785,07/14/2011,357
786,07/15/2011,319
787,07/16/2011,77
788,07/18/2011,365
789,07/19/2011,309
790,07/20/2011,303
791,07/21/2011,298
792,07/22/2011,268
793,07/23/2011,42
794,07/25/2011,367
795,07/26/2011,390
796,07/27/2011,306
797,07/28/2011,294
798,07/29/2011,292
799,07/30/2011,43
800,07/31/2011,3
801,08/01/2011,419
802,08/02/2011,372
803,08/03/2011,315
804,08/04/2011,269
805,08/05/2011,354
806,08/06/2011,52
807,08/08/2011,380
808,08/09/2011,298
809,08/10/2011,269
810,08/11/2011,337
811,08/12/2011,330
812,08/13/2011,40
813,08/15/2011,433
814,08/16/2011,301
815,08/17/2011,278
816,08/18/2011,295
817,08/19/2011,307
818,08/20/2011,39
819,08/22/2011,455
820,08/23/2011,277
821,08/24/2011,304
822,08/25/2011,316
823,08/26/2011,331
824,08/27/2011,53
825,08/29/2011,383
826,08/30/2011,300
827,08/31/2011,332
828,09/01/2011,346
829,09/02/2011,303
830,09/03/2011,56
831,09/06/2011,482
832,09/07/2011,340
833,09/08/2011,325
834,09/09/2011,385
835,09/10/2011,27
836,09/12/2011,433
837,09/13/2011,355
838,09/14/2011,295
839,09/15/2011,336
840,09/16/2011,310
