,Date,Total
746,01/26/2011,380
747,01/27/2011,338
748,01/28/2011,315
749,01/29/2011,157
750,01/30/2011,145
751,01/31/2011,479
752,02/01/2011,365
753,02/02/2011,380
754,02/03/2011,343
755,02/04/2011,290
756,02/05/2011,167
757,02/06/2011,107
758,02/07/2011,407
759,02/08/2011,351
760,02/09/2011,292
761,02/10/2011,318
762,02/11/2011,380
763,02/12/2011,123
764,02/13/2011,155
765,02/14/2011,402
766,02/15/2011,382
767,02/16/2011,371
768,02/17/2011,337
769,02/18/2011,367
770,02/19/2011,167
771,02/20/2011,137
772,02/21/2011,304
773,02/22/2011,348
774,02/23/2011,384
775,02/24/2011,378
776,02/25/2011,338
777,02/26/2011,180
778,02/27/2011,179
779,02/28/2011,445
780,03/01/2011,475
781,03/02/2011,364
782,03/03/2011,381
783,03/04/2011,403
784,03/05/2011,200
785,03/06/2011,162
786,03/07/2011,435
787,03/08/2011,357
788,03/09/2011,317
789,03/10/2011,298
790,03/11/2011,376
791,03/12/2011,150
792,03/13/2011,139
793,03/14/2011,457
794,03/15/2011,392
795,03/16/2011,321
796,03/17/2011,349
797,03/18/2011,309
798,03/19/2011,134
799,03/20/2011,176
800,03/21/2011,402
801,03/22/2011,281
802,03/23/2011,278
803,03/24/2011,307
804,03/25/2011,347
805,03/26/2011,178
806,03/27/2011,125
807,03/28/2011,468
808,03/29/2011,367
809,03/30/2011,345
810,03/31/2011,362
811,04/01/2011,390
812,04/02/2011,134
813,04/03/2011,156
814,04/04/2011,505
815,04/05/2011,383
816,04/06/2011,401
817,04/07/2011,334
818,04/08/2011,289
819,04/09/2011,140
820,04/10/2011,157
821,04/11/2011,413
822,04/12/2011,316
823,04/13/2011,387
824,04/14/2011,358
825,04/15/2011,318
826,04/16/2011,139
827,04/17/2011,129
828,04/18/2011,470
829,04/19/2011,294
830,04/20/2011,349
831,04/21/2011,331
832,04/22/2011,314
833,04/23/2011,163
834,04/25/2011,484
835,04/26/2011,368
836,04/27/2011,370
837,04/28/2011,345
838,04/29/2011,327
839,04/30/2011,155
840,05/01/2011,145
841,05/02/2011,490
842,05/03/2011,430
843,05/04/2011,350
844,05/05/2011,359
845,05/06/2011,319
846,05/07/2011,142
847,05/08/2011,147
848,05/09/2011,415
849,05/10/2011,372
